resolver_ip	country	certinfo	verification
193.30.122.186	DE	CN=dns.hahnjo.de	"ok"
185.228.170.14	IE	CN=*.cleanbrowsing.org	"ok"
98.158.99.225	VG	CN=*.safedns.com	"ok"
185.228.169.50	IE	CN=*.233py.com	"ok"
114.115.240.175	CN	-	"ok"
185.228.169.37	IE	CN=*.cleanbrowsing.org	"ok"
209.177.145.21	US	CN=kublai.com	"unable to verify the first certificate"
185.228.171.138	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.180	IE	CN=*.quad9.net	"ok"
149.112.112.112	US	CN=*.quad9.net	"ok"
185.228.168.10	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.64	IE	CN=*.cleanbrowsing.org	"ok"
136.243.20.183	DE	CN=srv2.need4geek.eu	"ok"
185.228.168.143	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.37	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.167	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.243	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.92	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.76	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.167	IE	CN=*.cleanbrowsing.org	"ok"
111.231.115.74	CN	CN=*.augix.net	"ok"
62.76.76.62	RU	CN=dns.ix.ru	"ok"
51.15.242.92	FR	CN=dns-par.section9.tech	"ok"
5.79.98.56	NL	CN=*.cleanbrowsing.org	"ok"
185.228.168.134	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.33	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.212	US	CN=*.cleanbrowsing.org	"ok"
58.49.120.133	CN	CN=cloudflare-dns.com	"ok"
76.76.1.57	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.56	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.207	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.5	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.78	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.210	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.225	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.175	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.60	IE	CN=*.cleanbrowsing.org	"ok"
13.57.234.70	US	CN=skyhole.karlquinsland.com	"ok"
176.51.80.53	RU	CN=dns.google	"ok"
76.76.1.216	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.5	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.198	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.215	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.72	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.246	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.99	IE	CN=*.cleanbrowsing.org	"ok"
31.30.126.17	CZ	CN=cloudflare-dns.com	"ok"
76.76.1.28	US	CN=*.cleanbrowsing.org	"ok"
5.9.175.238	DE	CN=dns.giggity.de	"ok"
76.76.0.83	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.31	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.247	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.34	IE	CN=*.cleanbrowsing.org	"ok"
148.251.86.188	DE	CN=blackhole-dns.de	"ok"
5.137.170.98	RU	CN=dns.google	"ok"
185.228.168.101	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.112	IE	CN=*.cleanbrowsing.org	"ok"
95.179.136.226	GR	CN=95.179.136.226	"self signed certificate"
177.54.245.30	BR	CN=dns.google	"ok"
185.228.168.77	IE	CN=*.cleanbrowsing.org	"ok"
145.100.185.17	NL	CN=dnsovertls2.sinodun.com	"ok"
103.247.36.36	US	CN=dns1.dnsfilter.com	"ok"
185.228.168.152	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.242	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.61	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.7	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.119	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.140	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.187	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.33	US	CN=*.cleanbrowsing.org	"ok"
148.251.86.179	DE	CN=blackhole-dns.de	"ok"
185.228.171.105	IE	CN=*.cleanbrowsing.org	"ok"
139.199.169.40	CN	CN=WeZZard Public Unbound Service Guangzhou	"self signed certificate in certificate chain"
195.122.10.92	LV	CN=ns2.srv.mhp.com.ua	"certificate has expired"
185.228.170.164	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.97	IE	CN=*.cleanbrowsing.org	"ok"
176.126.78.183	GB	CN=*.datafaber.net	"ok"
185.228.169.182	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.153	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.25	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.227	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.161	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.180	IE	CN=*.cleanbrowsing.org	"ok"
39.98.39.111	CN	d	"self signed certificate"
191.96.70.56	BR	CN=*.cleanbrowsing.org	"ok"
76.76.1.184	US	CN=*.cleanbrowsing.org	"ok"
160.94.167.114	US	CN=amersoftdairy.com	"ok"
185.228.170.8	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.63	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.231	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.33	IE	CN=*.cleanbrowsing.org	"ok"
5.187.21.98	GB	CN=london2.perfect-privacy.com	"ok"
185.228.169.58	IE	CN=*.cleanbrowsing.org	"ok"
159.203.32.43	CA	CN=schemacs.com	"ok"
185.228.171.214	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.35	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.193	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.196	US	CN=*.cleanbrowsing.org	"ok"
159.69.22.107	DE	CN=mogk.org	"ok"
185.228.168.170	IE	CN=*.cleanbrowsing.org	"ok"
185.17.184.3	NL	CN=amsterdam3.perfect-privacy.com	"ok"
195.201.46.46	DE	CN=dns1.brianum.de	"ok"
78.98.150.46	SK	CN=dns.google	"ok"
80.255.7.78	CH	CN=basel2.perfect-privacy.com	"ok"
76.76.0.95	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.216	IE	CN=*.cleanbrowsing.org	"ok"
217.114.218.30	DE	CN=erfurt1.perfect-privacy.com	"ok"
185.228.169.119	IE	CN=*.cleanbrowsing.org	"ok"
147.75.108.175	US	CN=*.cleanbrowsing.org	"ok"
116.203.49.200	IN	CN=dns.ftuwc.com	"ok"
185.228.171.103	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.187	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.58	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.61	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.170	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.207	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.30	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.211	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.41	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.200	US	CN=*.cleanbrowsing.org	"ok"
147.75.100.9	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.171	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.210	US	CN=*.cleanbrowsing.org	"ok"
46.182.19.48	DE	CN=dns2.digitalcourage.de	"ok"
80.238.125.102	PL	CN=tlsdns.jurczuk.eu	"ok"
185.228.168.127	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.172	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.70	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.44	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.93	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.50	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.144	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.131	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.170	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.125	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.181	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.144	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.29	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.203	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.168	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.165	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.211	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.24	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.94	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.162	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.179	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.22	US	CN=*.cleanbrowsing.org	"ok"
178.63.78.56	DE	CN=*.waringer-atg.de	"ok"
95.179.130.14	GR	CN=*.cleanbrowsing.org	"ok"
76.76.1.148	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.119	IE	CN=*.cleanbrowsing.org	"ok"
47.101.136.37	CN	CN=*.233py.com	"ok"
195.181.217.15	CZ	CN=tempeh.tkl.cz	"ok"
95.158.247.106	RU	CN=*.quad9.net	"ok"
185.228.171.74	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.165	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.192	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.89	IE	CN=*.cleanbrowsing.org	"ok"
35.177.166.217	GB	CN=dnsoverhttps.ddns.net	"ok"
185.228.170.7	IE	CN=*.cleanbrowsing.org	"ok"
185.152.32.66	DK	CN=copenhagen1.perfect-privacy.com	"ok"
185.228.168.28	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.242	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.212	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.19	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.124	IE	CN=*.cleanbrowsing.org	"ok"
122.116.40.195	TW	CN=libcoffee.net	"ok"
185.228.171.182	IE	CN=*.cleanbrowsing.org	"ok"
164.132.237.140	FR	CN=snowpaws.de	"ok"
76.76.0.72	US	CN=*.cleanbrowsing.org	"ok"
13.52.53.225	US	CN=13.52.53.225.xip.io	"self signed certificate in certificate chain"
185.228.168.1	IE	CN=*.cleanbrowsing.org	"ok"
5.137.129.167	RU	CN=dns.google	"ok"
185.194.141.29	DE	CN=dns.randombit.eu	"ok"
185.228.169.213	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.118	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.148	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.190	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.122	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.196	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.37	US	CN=*.cleanbrowsing.org	"ok"
184.105.193.78	US	CN=tls-dns.odvr.dns-oarc.net	"self signed certificate"
185.228.170.20	IE	CN=*.cleanbrowsing.org	"ok"
51.15.137.209	FR	CN=allns.fr	"ok"
76.76.0.3	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.63	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.193	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.80	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.141	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.130	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.225	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.155	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.39	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.100	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.130	IE	CN=*.cleanbrowsing.org	"ok"
18.235.197.122	US	CN=dns-hole.davidbstein.com	"ok"
76.76.0.143	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.40	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.87	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.69	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.153	IE	CN=*.cleanbrowsing.org	"ok"
82.221.105.80	IS	CN=reykjavik1.perfect-privacy.com	"ok"
76.76.0.58	US	CN=*.cleanbrowsing.org	"ok"
203.216.0.115	JP	CN=dotdoh.dns.gol.com	"certificate has expired"
185.228.170.229	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.153	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.66	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.16	IE	CN=*.cleanbrowsing.org	"ok"
37.187.163.66	FR	CN=strasbourg1.perfect-privacy.com	"ok"
76.76.0.48	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.199	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.82	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.67	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.0	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.113	IE	CN=*.cleanbrowsing.org	"ok"
80.67.190.200	FR	CN=log.bzh/emailAddress=admin@gozmail.net	"self signed certificate"
76.76.0.207	US	CN=*.cleanbrowsing.org	"ok"
51.15.79.16	FR	CN=dns-ams.section9.tech	"ok"
185.228.169.172	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.152	IE	CN=*.cleanbrowsing.org	"ok"
188.248.181.195	SA	CN=*.cleanbrowsing.org	"ok"
185.228.169.229	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.19	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.60	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.45	IE	CN=*.cleanbrowsing.org	"ok"
162.159.36.11		CN=cloudflare-dns.com	"ok"
76.76.0.248	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.95	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.238	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.122	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.228	IE	CN=*.cleanbrowsing.org	"ok"
145.100.185.16	NL	CN=dnsovertls1.sinodun.com	"ok"
185.228.168.229	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.209	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.13	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.108	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.207	IE	CN=*.cleanbrowsing.org	"ok"
91.121.119.194	FR	CN=cube.daedric.net	"ok"
76.76.0.147	US	CN=*.cleanbrowsing.org	"ok"
23.251.137.167	US	CN=dns-tls.kidslox.com	"ok"
185.228.169.176	IE	CN=*.cleanbrowsing.org	"ok"
118.24.208.197	CN	CN=*.nsx.de	"ok"
188.40.23.66	DE	CN=*.nsx.de	"unable to verify the first certificate"
185.228.168.217	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.105	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.126	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.140	IE	CN=*.cleanbrowsing.org	"ok"
178.79.177.125	GB	CN=ns1.skabb.se	"ok"
185.228.169.34	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.208	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.238	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.10	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.253	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.80	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.112	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.192	IE	CN=*.cleanbrowsing.org	"ok"
35.229.16.12	US	CN=grebe.duckdns.org	"ok"
185.228.169.93	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.235	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.180	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.159	IE	CN=*.cleanbrowsing.org	"ok"
173.212.207.79	DE	CN=*.datafaber.net	"ok"
185.228.171.163	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.156	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.38	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.188	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.57	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.84	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.46	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.224	US	CN=*.cleanbrowsing.org	"ok"
195.54.209.159	RU	CN=*.cleanbrowsing.org	"ok"
185.228.171.195	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.90	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.167	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.104	IE	CN=*.cleanbrowsing.org	"ok"
45.33.17.13	US	CN=frcv.net	"ok"
176.160.184.134	FR	CN=cloudflare-dns.com	"ok"
185.228.170.99	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.41	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.121	US	CN=*.cleanbrowsing.org	"ok"
118.126.68.223	CN	CN=dns.rubyfish.cn	"ok"
185.228.168.108	IE	CN=*.cleanbrowsing.org	"ok"
89.87.118.83	FR	CN=cloudflare-dns.com	"ok"
185.228.171.145	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.98	US	CN=*.cleanbrowsing.org	"ok"
80.211.208.74	CZ	CN=*.cleanbrowsing.org	"ok"
185.228.169.174	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.16	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.3	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.247	IE	CN=*.cleanbrowsing.org	"ok"
142.54.165.27	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.85	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.56	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.9	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.151	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.31	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.154	IE	CN=*.cleanbrowsing.org	"ok"
116.203.20.67	IN	CN=tumarkin.tk	"ok"
185.228.169.2	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.58	IE	CN=*.cleanbrowsing.org	"ok"
141.40.9.211	DE	CN=resolver2.lrz.de	"unable to verify the first certificate"
185.228.171.8	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.115	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.59	US	CN=dns1.brianum.de	"ok"
78.46.210.40	DE	CN=dns1.brianum.de	"ok"
185.228.171.200	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.29	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.48	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.146	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.165	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.126	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.94	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.127	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.46	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.242	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.19	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.155	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.223	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.138	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.86	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.39	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.85	US	CN=*.cleanbrowsing.org	"ok"
51.255.168.159	FR	CN=nosupamu.de	"ok"
185.228.169.73	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.21	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.26	US	CN=*.cleanbrowsing.org	"ok"
88.99.86.234	DE	CN=dns.c-14.de	"ok"
75.64.134.252	US	CN=gillia.fgthou.se	"ok"
185.228.170.180	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.8	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.188	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.196	US	CN=*.cleanbrowsing.org	"ok"
207.148.19.162	US	CN=*.cleanbrowsing.org	"ok"
128.78.77.236	FR	CN=cloudflare-dns.com	"ok"
185.228.168.169	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.3	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.251	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.121	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.7	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.65	IE	CN=*.cleanbrowsing.org	"ok"
91.219.238.194	HU	CN=sa0814	"unable to verify the first certificate"
195.201.38.145	DE	CN=anwx.de	"ok"
209.95.58.91	AU	CN=melbourne1.perfect-privacy.com	"ok"
76.76.1.52	US	CN=*.cleanbrowsing.org	"ok"
