resolver_ip	country	certinfo	verification
118.89.110.78	CN	CN=dns.rubyfish.cn	"ok"
5.182.208.250		CN=nextdns.io	"ok"
5.182.208.71		CN=nextdns.io	"ok"
5.182.208.24		CN=nextdns.io	"ok"
198.180.150.12	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.226	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.75	IE	CN=nextdns.io	"ok"
185.228.169.62	IE	CN=nextdns.io	"ok"
5.182.208.23		CN=nextdns.io	"ok"
5.182.208.236		CN=nextdns.io	"ok"
185.228.171.151	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.254	IE	CN=*.cleanbrowsing.org	"ok"
202.158.221.222	AU	CN=*.cleanbrowsing.org	"unable to verify the first certificate"
185.228.169.232	IE	CN=nextdns.io	"ok"
76.76.1.153	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.226	IE	CN=*.cleanbrowsing.org	"ok"
91.230.243.110	GB	CN=*.dataip.net	"unable to verify the first certificate"
35.240.4.2	US	CN=dns-tls.kidslox.com	"ok"
152.89.162.238		CN=zurich3.perfect-privacy.com	"ok"
152.89.160.110		CN=belgrade1.perfect-privacy.com	"ok"
185.228.168.120	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.107		CN=nextdns.io	"ok"
185.228.168.176	IE	CN=*.cleanbrowsing.org	"ok"
31.31.151.18	BE	CN=*.cleanbrowsing.org	"self signed certificate in certificate chain"
185.228.168.108	IE	CN=*.cleanbrowsing.org	"ok"
31.31.151.56	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
13.57.234.70	US	CN=skyhole.karlquinsland.com	"ok"
5.182.208.163		CN=nextdns.io	"ok"
122.225.74.36	CN	CN=www.52lmj.com	"ok"
5.182.208.78		CN=*.cleanbrowsing.org	"ok"
185.228.171.234	IE	CN=superrr.mooo.com	"ok"
192.3.152.41	US	CN=superrr.mooo.com	"ok"
185.228.171.116	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.104	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.150	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.214	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.5	US	CN=nextdns.io	"ok"
5.182.208.193		CN=nextdns.io	"ok"
5.182.208.160		CN=nextdns.io	"ok"
188.40.23.66	DE	CN=*.cleanbrowsing.org	"unable to verify the first certificate"
185.228.169.227	IE	CN=*.cleanbrowsing.org	"ok"
88.217.195.29	DE	CN=FG100E4Q17025373/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
34.92.63.52	US	CN=*.ddmznh.tk	"ok"
5.182.208.20		CN=nextdns.io	"ok"
76.76.0.238	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.208	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.106		CN=nextdns.io	"ok"
152.89.162.226		CN=zurich3.perfect-privacy.com	"ok"
5.182.208.95		CN=nextdns.io	"ok"
45.33.17.13	US	CN=frcv.net	"ok"
76.76.1.145	US	CN=*.cleanbrowsing.org	"ok"
34.83.122.225	US	CN=dns.3dslice.net	"ok"
31.31.151.60	BE	CN=*.cleanbrowsing.org	"self signed certificate in certificate chain"
185.228.169.181	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.114	US	CN=*.cleanbrowsing.org	"ok"
107.155.79.120	US	CN=us-dns.233py.com	"ok"
185.228.168.210	IE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"ok"
31.31.151.1	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.168.5	IE	CN=*.cleanbrowsing.org	"ok"
81.161.59.120	RO	-	"-"
193.170.194.35	AT	CN=dyndns.servus.at	"ok"
31.31.151.11	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.171.82	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.147	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.13	IE	-	"ok"
217.192.10.98	CH	CN=FG100D3G16800851/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.183.159.34	DE	CN=*.waringer-atg.de	"ok"
84.22.115.209	NL	CN=dns.ivanromanov.ru	"ok"
76.76.1.165	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.87	IE	CN=*.cleanbrowsing.org	"ok"
95.179.130.14	GR	CN=*.cleanbrowsing.org	"ok"
52.20.30.16	US	CN=infoblox.com	"self signed certificate"
88.217.195.26	DE	CN=FG100E4Q17025373/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.168.141	IE	CN=*.kroell.net	"ok"
80.241.222.161	DE	CN=*.kroell.net	"ok"
203.180.146.221	JP	CN=*.dns.iij.jp	"ok"
185.228.170.30	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.109	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.175	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.112	IE	CN=*.cleanbrowsing.org	"ok"
66.98.118.214	US	CN=cloudflare-dns.com	"ok"
185.228.170.46	IE	CN=dns.ebshome.net	"ok"
66.70.152.119	US	CN=ns1.zerodns.ra.vc	"ok"
5.182.208.228		CN=nextdns.io	"ok"
5.182.208.248		CN=nextdns.io	"ok"
185.177.57.15	BG	CN=tsenov.rocks	"ok"
76.76.0.115	US	CN=tsenov.rocks	"ok"
185.228.169.136	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.142	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.11	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.1	IE	-	"ok"
185.228.171.129	IE	CN=*.cleanbrowsing.org	"ok"
193.150.15.5	CZ	CN=rdns2	"unable to verify the first certificate"
185.228.168.204	IE	CN=*.cleanbrowsing.org	"ok"
116.203.5.171	IN	CN=sirius.scubadata.net, C=FR, ST=none, L=none, O=none, OU=none	"unable to verify the first certificate"
185.228.169.157	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.160	US	CN=nextdns.io	"ok"
5.182.208.189		CN=nextdns.io	"ok"
35.231.247.227	US	CN=*.blockerdns.com	"ok"
76.76.1.123	US	CN=*.cleanbrowsing.org	"ok"
5.182.208.150		CN=nextdns.io	"ok"
160.32.192.112	US	CN=FGT50E3U16007900/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
121.35.241.89	CN	CN=FG200E4Q17900609/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.170.18	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.140		CN=nextdns.io	"ok"
76.76.0.173	US	CN=*.cleanbrowsing.org	"ok"
85.159.213.113	GB	CN=*.cleanbrowsing.org	"ok"
185.228.170.158	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.195	US	CN=*.cleanbrowsing.org	"ok"
162.159.46.11		CN=*.cleanbrowsing.org	"ok"
76.76.0.233	US	CN=*.cleanbrowsing.org	"ok"
176.63.155.68	HU	CN=hl.dip.fodor.it	"ok"
185.228.170.137	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.220	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.177	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.202	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.163	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.81	US	CN=*.cleanbrowsing.org	"ok"
198.54.117.10	US	CN=*.safeservedns.com	"ok"
46.105.190.42	FR	CN=dns1.lanprotect.me	"unable to verify the first certificate"
76.76.0.119	US	CN=*.cleanbrowsing.org	"ok"
31.130.229.7	CA	-	"-"
185.228.169.52	IE	CN=*.cleanbrowsing.org	"ok"
209.183.228.221	US	CN=kswro.web.id	"ok"
167.99.77.110	SG	CN=kswro.web.id	"ok"
185.228.168.172	IE	CN=*.cleanbrowsing.org	"ok"
178.63.74.47	DE	CN=www.osterried.it	"ok"
185.228.169.74	IE	CN=*.cleanbrowsing.org	"ok"
75.64.134.252	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.213	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.204		CN=nextdns.io	"ok"
76.76.1.55	US	CN=*.cleanbrowsing.org	"ok"
