resolver_ip	country	certinfo	verification
5.182.208.206		CN=nextdns.io	"ok"
5.182.208.208		CN=nextdns.io	"ok"
185.228.170.141	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.104		CN=*.cleanbrowsing.org	"ok"
185.228.170.248	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.218	IE	-	"ok"
5.182.208.90		CN=*.cleanbrowsing.org	"ok"
185.228.168.167	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.176	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.40	IE	CN=nextdns.io	"ok"
5.182.208.217		CN=nextdns.io	"ok"
185.228.168.216	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.7	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.186	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.160	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.74		CN=nextdns.io	"ok"
5.182.208.61		CN=nextdns.io	"ok"
35.231.230.122	US	CN=*.safedns.com	"self signed certificate"
176.56.180.133	GB	CN=*.safedns.com	"ok"
185.228.171.230	IE	CN=london2.perfect-privacy.com	"ok"
130.180.200.36	GB	CN=*.cleanbrowsing.org	"ok"
185.228.170.210	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.109	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.195	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.189	IE	CN=dns-privacy-1.nerdli.ch	"ok"
116.203.0.188	IN	CN=dns-privacy-1.nerdli.ch	"certificate has expired"
185.228.170.107	IE	CN=*.cleanbrowsing.org	"ok"
31.31.151.61	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
31.31.151.17	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
31.31.151.73	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
31.31.151.38	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.170.96	IE	-	"ok"
31.130.229.10	CA	-	"-"
185.228.170.68	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.48	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.95	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.164	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.145	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.196	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.68	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.205	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.254	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.123	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.193	IE	CN=*.cleanbrowsing.org	"ok"
94.242.243.94	LU	CN=steinsel2.perfect-privacy.com	"ok"
35.177.166.217	GB	CN=dnsoverhttps.ddns.net	"ok"
185.228.171.234	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.12	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.203		CN=*.cleanbrowsing.org	"ok"
185.228.169.113	IE	CN=*.cleanbrowsing.org	"ok"
209.58.162.197	SG	CN=singapore1.perfect-privacy.com	"ok"
185.228.169.223	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.197		CN=nextdns.io	"ok"
81.161.59.119	RO	CN=erfurt1.perfect-privacy.com	"ok"
217.114.218.30	DE	CN=erfurt1.perfect-privacy.com	"ok"
185.228.171.159	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.203	IE	CN=*.cleanbrowsing.org	"ok"
5.137.255.77	RU	CN=dns.google	"ok"
185.228.168.165	IE	CN=*.cleanbrowsing.org	"ok"
149.129.120.121	CN	CN=cloudflare-dns.com	"ok"
185.228.168.137	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.184	IE	CN=*.cleanbrowsing.org	"ok"
220.151.249.36	JP	CN=dns1.nordvpn.com	"ok"
185.228.168.84	IE	CN=*.cleanbrowsing.org	"ok"
176.63.155.68	HU	CN=hl.dip.fodor.it	"ok"
104.237.193.26	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.108	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.35	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.241	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.143	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.163	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.121	IE	CN=dns.giggity.de	"ok"
5.9.175.238	DE	-	"ok"
185.228.171.148	IE	-	"ok"
69.254.155.171	US	-	"ok"
82.221.105.61	IS	CN=reykjavik1.perfect-privacy.com	"ok"
185.228.169.210	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.51	IE	CN=*.cleanbrowsing.org	"ok"
31.31.151.26	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.170.212	IE	CN=*.cleanbrowsing.org	"ok"
187.12.219.109	BR	CN=FG100D3G13822743/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.168.118	IE	CN=*.cleanbrowsing.org	"ok"
109.5.33.162	FR	CN=FGT50E5618010236/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
159.65.227.154	US	CN=dns-over-tls	"unable to verify the first certificate"
185.228.171.145	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.248	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.84	IE	CN=cloudflare-dns.com	"ok"
