resolver_ip	country	certinfo	verification
5.182.208.42		CN=*.cleanbrowsing.org	"ok"
185.228.169.253	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.114	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.147	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.190	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.28	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.150	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.33	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.190	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.230	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.40	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.230	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.112	US	CN=*.cleanbrowsing.org	"ok"
5.182.208.92		CN=nextdns.io	"ok"
113.190.241.172	VN	CN=cloudflare-dns.com	"ok"
185.154.152.19	FR	CN=ns2.sdns.online	"ok"
5.2.130.84	RO	CN=orange.kroko.ro	"ok"
200.182.188.77	BR	CN=cloudflare-dns.com	"self signed certificate in certificate chain"
89.81.172.185	FR	CN=cloudflare-dns.com	"ok"
185.228.168.56	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.43	IE	CN=*.cleanbrowsing.org	"ok"
203.78.141.251	HK	CN=*.indust.me	"ok"
47.101.53.117	CN	CN=*.indust.me	"ok"
203.76.244.151	JP	CN=*.cleanbrowsing.org	"ok"
185.184.222.222	GB	CN=dns.sb	"ok"
76.76.0.103	US	CN=*.cleanbrowsing.org	"ok"
5.182.208.54		CN=nextdns.io	"ok"
76.76.1.124	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.6	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.27	US	CN=*.cleanbrowsing.org	"ok"
103.246.18.42	TH	CN=whs.in.th	"ok"
185.228.168.7	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.223	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.128	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.64	IE	CN=*.cleanbrowsing.org	"ok"
5.9.175.238	DE	CN=dns.giggity.de	"ok"
185.228.168.93	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.172	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.214	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.155	US	CN=*.cleanbrowsing.org	"ok"
76.76.0.29	US	CN=*.cleanbrowsing.org	"ok"
5.182.208.49		CN=nextdns.io	"ok"
76.76.1.14	US	CN=*.cleanbrowsing.org	"ok"
185.127.10.152	IL	CN=FG1K2D3I17801765/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.171.75	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.18	IE	CN=*.cleanbrowsing.org	"ok"
176.56.185.248	NL	CN=*.safedns.com	"ok"
185.228.170.162	IE	CN=*.cleanbrowsing.org	"ok"
96.44.146.26	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.5	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.203	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.148	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.181	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.12	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.210	US	CN=*.cleanbrowsing.org	"ok"
209.177.145.21	US	CN=kublai.com	"unable to verify the first certificate"
185.228.168.159	IE	CN=*.cleanbrowsing.org	"ok"
2.50.4.113	AE	CN=FortiGate Server/emailAddress=support@fortinet.com	"self signed certificate"
185.228.170.63	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.160	IE	CN=*.cleanbrowsing.org	"ok"
181.174.109.10	GT	CN=FG140D3G13800039/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
76.76.1.75	US	CN=*.cleanbrowsing.org	"ok"
80.241.218.68	DE	CN=fdns1.dismail.de	"ok"
195.54.209.159	RU	CN=sunner.semmy.ru	"ok"
76.76.0.68	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.238	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.223	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.107	IE	CN=*.cleanbrowsing.org	"ok"
185.228.170.125	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.90	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.60	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.41	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.247	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.254	IE	CN=*.cleanbrowsing.org	"ok"
173.212.207.79	DE	CN=*.datafaber.net	"ok"
76.76.0.113	US	CN=dns.google	"ok"
177.94.144.3	BR	CN=dns.google	"ok"
5.182.208.244		CN=dns.moparisthebest.com	"ok"
35.224.170.235	US	CN=dns.moparisthebest.com	"ok"
185.228.170.105	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.246	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.45	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.217	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.118	IE	CN=*.cleanbrowsing.org	"ok"
31.31.151.27	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
84.22.115.209	NL	CN=*.cleanbrowsing.org	"ok"
185.228.169.22	IE	CN=*.cleanbrowsing.org	"ok"
185.56.24.52	CH	CN=dns6.csti.ch/emailAddress=technical@csti.ch	"certificate has expired"
185.228.168.17	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.219	US	CN=*.cleanbrowsing.org	"ok"
185.228.169.235	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.209	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.132		CN=nextdns.io	"ok"
76.76.0.92	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.106	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.136	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.191	IE	CN=*.cleanbrowsing.org	"ok"
185.228.169.208	IE	CN=*.cleanbrowsing.org	"ok"
46.105.255.24	FR	CN=dns.frostbolt.ch	"ok"
120.79.57.230	CN	CN=ns.biggersoft.com	"certificate has expired"
185.228.168.35	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.8	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.59	IE	CN=*.cleanbrowsing.org	"ok"
185.228.171.127	IE	CN=zurich3.perfect-privacy.com	"ok"
185.228.170.96	IE	CN=zurich3.perfect-privacy.com	"ok"
152.89.162.238		CN=zurich3.perfect-privacy.com	"ok"
173.205.92.166	US	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"ok"
31.31.136.240	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
37.252.185.232	AT	CN=dot1.appliedprivacy.net	"ok"
185.228.170.184	IE	CN=*.cleanbrowsing.org	"ok"
92.103.214.9	FR	CN=*.cleanbrowsing.org	"ok"
76.76.1.67	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.0	IE	CN=*.cleanbrowsing.org	"ok"
185.228.168.174	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.26	US	CN=*.cleanbrowsing.org	"ok"
185.228.168.247	IE	CN=*.cleanbrowsing.org	"ok"
76.76.1.228	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.133	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.94	US	CN=*.cleanbrowsing.org	"ok"
5.182.208.179		CN=nextdns.io	"ok"
185.228.168.9	IE	CN=*.cleanbrowsing.org	"ok"
31.31.151.77	BE	CN=FG5H0E5818906781/emailAddress=support@fortinet.com	"self signed certificate in certificate chain"
185.228.171.23	IE	CN=*.cleanbrowsing.org	"ok"
76.76.0.248	US	CN=*.cleanbrowsing.org	"ok"
76.76.1.23	US	CN=*.cleanbrowsing.org	"ok"
185.228.171.235	IE	CN=*.cleanbrowsing.org	"ok"
5.182.208.115		CN=nextdns.io	"ok"
81.187.221.24	GB	CN=dns-tls.bitwiseshift.net	"certificate has expired"
76.76.1.1	US	CN=*.cleanbrowsing.org	"ok"
185.228.170.102	IE	CN=calais1.perfect-privacy.com	"ok"
92.222.212.19	FR	CN=calais1.perfect-privacy.com	"ok"
